clan_id,clan_name,clan_leader_name,clan_kingdom,clan_description
clan_empire_north_1,House of Timur,Shah Alam II,The Mughal Empire,The imperial dynasty carries the weight of a glorious past and a crumbling present as they struggle to maintain the sanctity of the Peacock Throne. From their seat in Delhi they command the ultimate symbolic legitimacy in the subcontinent even as their actual territorial control shrinks to the surrounding districts. Their household troops are composed of the last remaining Mughal palace guards who are trained in the traditional arts of heavy cavalry and ceremonial defense. They represent a culture of high Persian refinement and central authority that is currently besieged by rising regional powers and internal court intrigues. This ruling clan operates on the prestige of their Timurid lineage which still compels even their enemies to seek imperial patents to legitimize their own conquests. Despite the lack of a treasury they maintain a complex court ritual that serves as the diplomatic language of the age. Their struggle is the ultimate tragedy of the era as they attempt to survive as sovereigns while essentially living as prisoners of their own protectors.
clan_empire_north_2,Najaf Khani,Mirza Najaf Khan,The Mughal Empire,A clan of Persian origin that has become the premier military backbone of the imperial center through their expertise in modernizing the Mughal infantry. They are known for their fierce loyalty to the crown and their ability to raise disciplined battalions that can match the European trained sepoys of the coast. Their strength lies in their specialized musketeers and heavy cavalry who often serve as the vanguard in the emperors campaigns to reclaim lost provinces. In the current civil war they act as the primary defense force against the encroaching Marathas and rebellious regional governors. This group represents the influx of Shia military talent that sought to revitalize the dying empire through merit and rigorous drill. Unlike the older nobility they embrace modern flintlock technology and bayonet tactics to compensate for the decline in traditional heavy cavalry numbers. Their survival is tied directly to the Emperors personal fortune and they are often the only force preventing the total sack of the capital by marauding tribal bands.
clan_empire_north_3,Rohilla,Najib ud Daula,The Mughal Empire,A powerful confederacy of Afghan settlers who have carved out a significant territory in the fertile lands north of the capital known as Rohilkhand. They are often viewed with suspicion by the imperial court due to their tendency to align with the invading Durranis to protect their local autonomy. Their military power is based on rugged mountain infantry and light skirmishers who are masters of the long range matchlock. They represent the volatile frontier element of the empire that often dictates who holds power in the streets of Delhi through sheer martial force. Their social structure is fiercely tribal and egalitarian compared to the rigid Mughal hierarchy which allows them to mobilize an entire population of fighting men during times of crisis. They utilize the terrain of the foothills to launch devastating ambushes making any attempt to tax their lands a suicide mission for imperial collectors. During the civil war they serve as the kingmakers of the north often switching sides to ensure that no single power can ever fully dominate their borders.
clan_empire_north_4,Bangash,Ahmad Khan Bangash,The Mughal Empire,A clan of Pathans settled in the Farrukhabad region who serve as a critical military buffer between the imperial heartland and the rising powers of the south. They are renowned for their bravery and their specialized knowledge of artillery manufacturing which makes them a valuable ally for any claimant to the throne. Their territory acts as a strategic gateway and they have spent generations defending this corridor against both the Marathas and the Nawabs of Awadh. They maintain a distinct cultural identity that prizes individual martial skill and the maintenance of a professional standing army of seasoned veterans. Their role in the civil war is one of survival through strategic alliance often providing the heavy muscle for imperial coalitions in exchange for land rights. They are the quintessential border lords of the 18th century possessing a military discipline that is respected even by their most bitter enemies.
clan_empire_north_5,House of Khas-Khel,Shuja ud Daula,The Mughal Empire,The powerful dynasty of the Nawabs of Awadh who serve as the hereditary Grand Viziers of the empire and possess the most formidable field army in the north. They govern a vast and fertile territory that has become the new economic center of the dying empire providing the riches needed to sustain a massive military machine. Their troops are a sophisticated blend of traditional heavy cavalry and massive battalions of Purbiya infantry who are famous for their height and discipline. This clan represents the peak of the successor state model where the wealth of a province is used to maintain the facade of imperial service while building a sovereign power base. Their intervention in the civil war is often the deciding factor in any major campaign as they bring with them the finest artillery train in the subcontinent. They are the ultimate pragmatists using their position as Viziers to claim legitimacy while their real power flows from their independent treasury and bayonets.
clan_empire_north_6,Qamar ud Din,Intizam ud Daula,The Mughal Empire,Descendants of former Grand Viziers who represent the old guard of the Turani nobility and the traditional Central Asian factions within the court. They maintain vast estates and a network of clients that dates back to the reign of Aurangzeb making them a conservative force in a rapidly changing world. Their military retinues are composed of elite heavy cavalry who still adhere to the ancient tactics of shock charges and archery. This group struggles to adapt to the new age of gunpowder and often finds themselves at odds with the newer Persian and Afghan adventurers rising in the capital. They act as the keepers of the old imperial traditions and provide a sense of continuity for the bureaucracy during the chaotic shifts of the civil war. Their influence is largely political and social using their high lineage to broker deals between the warring factions in the imperial palace.
clan_empire_north_7,Barha Sayyid,Sayyid Ahmad,The Mughal Empire,An ancient and celebrated clan of Indian Muslims who have traditionally held the ancestral right to lead the imperial vanguard in every major battle since the empire's inception. They are renowned for their fanatical bravery and a martial code that forbids them from retreating from the field of battle. Their warriors are mostly heavy infantry and cavalry who specialize in close quarters combat with the sword and shield. In the context of the civil war they represent the native military elite who feel increasingly sidelined by the rise of foreign mercenaries and modern artillery. They remain fiercely loyal to the concept of the empire if not always the person of the emperor serving as the symbolic guardians of the Indian Muslim warrior tradition. Their fortresses are scattered across the Doab region providing a network of defensive points that any invader must overcome to reach the capital.
clan_empire_north_8,Mir Atish,Musavi Khan,The Mughal Empire,The clan traditionally entrusted with the command of the imperial artillery corps and the defense of the strategic red stone battlements of the capital. They are masters of the technical aspects of 18th century warfare including the casting of massive bronze cannons and the management of large gunpowder magazines. Their soldiers are specialized technicians and gunners who form the backbone of any defensive siege operation conducted by the emperor. During the civil war they are the last line of defense for the House of Timur ensuring that the Red Fort remains an impregnable bastion against rebel forces. They possess a unique social status as the keepers of the empires most advanced and destructive weapons making their support vital for any claimant to the throne. Their expertise is a closely guarded secret passed down through generations of master gunners and siege engineers.
clan_empire_north_9,Badakshi,Mirza Baqar,The Mughal Empire,A clan of Central Asian warriors who have served as the elite palace guards and the personal heavy shock cavalry of the Timurids for several centuries. They are recognized by their distinct armor and their mastery of the composite bow and heavy lance which they use with devastating effect in open field battles. Unlike the local levies they are entirely dependent on the Emperors personal patronage which ensures their unwavering loyalty during palace coups. They represent the fading connection between the Mughal court and its nomadic roots in the steppes of Central Asia. In the current conflict they serve as the personal retinue of the emperor often being the only force he can truly trust when the provincial governors turn against him. Their presence in the capital is a reminder of the empires origins and they remain the most feared individual combatants in the streets of Delhi.
clan_sturgia_1,House of Sadozai,Ahmad Shah Abdali,Dawlat e Durrani,The ruling royal house of the Afghan empire which successfully unified the disparate tribes of the Hindu Kush into a singular conquering force. They are the architects of the great southward invasions and view the crumbling Mughal lands as their rightful spoils of war. Their military doctrine centers on the devastating charge of the heavy armored cavalry supported by a vast network of tribal levies. As the masters of the north they seek to impose a new order on the plains of India through a mix of religious fervor and overwhelming military might. This ruling clan has mastered the art of tribal diplomacy ensuring that the fierce independence of the Afghans is channeled into foreign conquest rather than internal feud. Their reign is marked by a series of high stakes invasions that have shattered the power of the Mughals and the Marathas alike. They represent a new and hungry imperial power that seeks to reclaim the legacy of the old Delhi Sultanates.
