id,culture,owner,gate_posX,gate_posY,gate_rotation,name,mappedName,posX,posY,text,type
castle_EN1,Culture.empire,Faction.clan_empire_north_3,494.4868,400.274,,{=Settlements.Settlement.name.castle_EN1}Varagos Castle,Fatehpur Sikri,493.56,403.18,,
castle_EN2,Culture.empire,Faction.clan_empire_north_6,604.3249,502.647,,{=Settlements.Settlement.name.castle_EN2}Lochana Castle,Qila e Aligarh,601.88,503.195,,
castle_EN3,Culture.empire,Faction.clan_empire_north_9,447.8718,438.2747,,{=Settlements.Settlement.name.castle_EN3}Rhesos Castle,Sambhal,445.834,439.847,,
castle_EN4,Culture.empire,Faction.clan_empire_north_3,562.4642,403.6078,,{=Settlements.Settlement.name.castle_EN4}Gaos Castle,Meerut,560.547,405.221,,
castle_EN5,Culture.empire,Faction.clan_empire_north_1,528.2367,462.1609,,{=Settlements.Settlement.name.castle_EN5}Atrion Castle,Kanpur,526.21,464.23,,
castle_EN6,Culture.empire,Faction.clan_empire_north_2,430.2386,404.2042,,{=Settlements.Settlement.name.castle_EN6}Ataconia Castle,Kannauj,428.712,406.186,,
castle_EN7,Culture.empire,Faction.clan_empire_north_7,650.2698,512.7195,,{=Settlements.Settlement.name.castle_EN7}Epinosa Castle,Etawah,652.684,512.049,,
castle_EN8,Culture.empire,Faction.clan_empire_north_8,661.5169,475.827,,{=Settlements.Settlement.name.castle_EN8}Syratos Castle,Moradabad,663.562,477.951,,
castle_EN9,Culture.empire,Faction.clan_empire_north_1,422.1589,482.2065,,{=Settlements.Settlement.name.castle_EN9}Mecalovea Castle,Tughlaqabad,424.494,481.205,,
town_EN1,Culture.empire,Faction.clan_empire_north_2,405.7087,472.0927,,{=Settlements.Settlement.name.town_EN1}Epicrotea,Akbarabad,407.645,474.297,"{=n9WMUuSp}Epicrotea, the 'All-Conquering' was named after the eccentric long-haired military genius Sarapios, who crushed a Battanian host and secured the lands west of Lake Laconis for the Empire. Its towers, overlooking the Miron river, have frequently been a northerner's first glimpse of the awesome and terrible force to their south.",
town_EN2,Culture.empire,Faction.clan_empire_north_1,463.2814,471.1416,,{=Settlements.Settlement.name.town_EN2}Diathma,Shahjahanabad,465.971,475.17,"{=wKMo2CUP}Diathma, the city of the Divine Decree, was erected by an imperial general on the ruins of a Dryatic shrine overlooking Lake Laconis. It was the last stand of the Dryatics, the northernmost of the Palaic peoples, who rebelled against the Empire and were overcome. According to legend they were pushed back into the shallows of the lake and fought until they were exhausted and the bloody waters engulfed them.",
town_EN3,Culture.empire,Faction.clan_empire_north_3,516.5862,416.1982,,{=Settlements.Settlement.name.town_EN3}Saneopa,Allahabad,513.339,419.099,"{=EJZLzhJk}Saneopa sits on a low pass leading from the Nevys valley to the north to the pool of the Ophthys. The ancient Palaic peoples of this region, like the Battanians, treated lakes as sacred sites, and the Ophthys in particular was said to be a gateway to another world. The hustle and bustle of Saneopa, one of the main trading centers of inland Calradia, stands in sharp contrast to the dark and silent waters below.",
town_EN4,Culture.empire,Faction.clan_empire_north_1,532.5618,494.7299,,{=Settlements.Settlement.name.town_EN4}Argoron,Lucknow,534.622,495.804,"{=LqPJY4s9}The city of Argoron sits where the cold, slow moving Nevys River meets Lake Laconis. This was once the land of the Laconians, who saw the Empire as a protector against the more warlike Palaic peoples. They welcomed and intermarried with imperial settlers and their chiefs joined the Senate, and their old language and customs faded away.",
town_EN5,Culture.empire,Faction.clan_empire_north_5,604.5439,423.2428,,{=Settlements.Settlement.name.town_EN5}Myzea,Mathura,604.173,426.101,"{=8UJ3cPrZ}Myzea gives its name to the Myzeiad, the rich hill country of the east-central empire. This region is the old stomping grounds of the senator Litos, who brought the Palaic tribes here into the empire relatively peacefully by offering them protection against raiders from the steppes. When he fell afoul of his rivals in the Senate, however, he tried to organize them into a rival 'barbarian' republic modelled on the ancient Calradian version. The empire snuffed it out, but the people here, now thoroughly Calradicized, still harbor an attachment to the old republican system and its partisans.",
town_EN6,Culture.empire,Faction.clan_empire_north_4,624.6628,483.38,,{=Settlements.Settlement.name.town_EN6}Amprela,Bareilly,620.342,483.919,"{=YYYxOiCq}Amprela is the foremost town of the far northeast of the Empire. Watchmen stand atop its towers, looking out for beacons from the frontier fortresses to the north, east and west that might signal the approach of raiders. Horse archers recruited from the rough Eleftheroi freemen drink in the barracks, waiting for the order to ride out against horsemen from the steppe. Cataphracts sally through its gates to vie with the princes of Sturgia for control of the trade crossing the nearby network of lakes known as the Iltan portages.",
castle_EW1,Culture.empire,Faction.clan_empire_west_2,275.8431,324.9398,,{=Settlements.Settlement.name.castle_EW1}Garontor Castle,Golconda Fort,273.429,324.02,,
castle_EW2,Culture.empire,Faction.clan_empire_west_4,464.8579,359.6282,,{=Settlements.Settlement.name.castle_EW2}Thorios Castle,Daulatabad,467.803,359.124,,
castle_EW3,Culture.empire,Faction.clan_empire_west_1,445.2068,275.0735,,{=Settlements.Settlement.name.castle_EW3}Onica Castle,Naldurg,445.931,272.569,,
castle_EW4,Culture.empire,Faction.clan_empire_west_3,256.7101,374.8052,,{=Settlements.Settlement.name.castle_EW4}Thractorae Castle,Udgir,258.912,375.931,,
castle_EW5,Culture.empire,Faction.clan_empire_west_7,267.33,406.6704,,{=Settlements.Settlement.name.castle_EW5}Veron Castle,Mahur,264.634,407.65,,
castle_EW6,Culture.empire,Faction.clan_empire_west_8,345.8056,390.2473,,{=Settlements.Settlement.name.castle_EW6}Hertogea Castle,Parenda,347.983,391.892,,
castle_EW7,Culture.empire,Faction.clan_empire_west_9,353.8361,280.3419,,{=Settlements.Settlement.name.castle_EW7}Oristocorys Castle,Kaulas,351.791,278.093,,
castle_EW8,Culture.empire,Faction.clan_empire_west_6,373.336,444.4101,,{=Settlements.Settlement.name.castle_EW8}Gersegos Castle,Medak Fort,375.321,445.862,,
town_EW1,Culture.empire,Faction.clan_empire_west_3,314.4292,392.8451,,{=Settlements.Settlement.name.town_EW1}Lageta,Warangal,315.287,397.114,"{=ZAGUIKOn}Lageta was infamously acquired by the Empire by an act of treachery. A rogue imperial mercenary murdered the Palaic chieftain who employed him, took the citadel, invited in imperial colonists, then bequeathed the town to the Empire. The Senate disavowed his action but accepted the bequest. The district is now thoroughly Calradicized, but the Battanians to the north remember, and whenever an imperial envoy speaks of the sanctity of treaties and pacts, they just nod to each other and say, 'Lageta.'",
town_EW2,Culture.empire,Faction.clan_empire_west_1,416.8557,289.4875,,{=Settlements.Settlement.name.town_EW2}Zeonica,Hyderabad,412.41,287.631,"{=kghCLS9q}Zeonica sits by the seaside at the base of the Iltaric hills, a land of wine, grain and horses. It was named for the Lady Zeona, one of the few women to rule the Empire - admittedly as regent for her son rather than Empress Regnant. It is known for the Zeonic Wind, a gale that blows northward across the Perassic Sea every summer carrying the burning heat of the Nahasa desert to the imperial south. In other seasons the weather here is mild, a weather pattern that has provided many a poet with a metaphor for the transience of passion.",
